Surate_N,Verset_N,Mot_N,Morpheme_N,MORPHEME,LEM,ROOT
2,10,4,3,humu,,
2,10,5,1,{ll~ahu,{ll~ah,Alh
2,10,6,1,maraDFA,m~araD,mrD
2,10,7,1,wa,,
2,10,7,2,la,,
2,10,7,3,humo,,
2,10,8,1,Ea*aAbN,Ea*aAb,E*b
2,10,9,1,>aliymN[,>aliym,Alm
2,10,10,1,bi,,
2,10,10,2,maA,"maA
",
2,10,11,1,kaAnu,kaAna,kwn
2,10,11,2,wA@,,
2,10,12,1,yako*ibu,ka*aba,k*b
2,10,12,2,wna,,
2,11,1,1,wa,,
2,11,1,2,<i*aA,"<i*aA
",
2,11,2,1,qiyla,qaAla,qwl
2,11,3,1,la,,
2,11,3,2,humo,,
2,11,4,1,laA,"laA
",
2,11,5,1,tufosidu,>afosadu,fsd
2,11,5,2,wA@,,
2,11,6,1,fiY,"fiY
",
2,11,7,1,{lo,,
2,11,7,2,>aroDi,>aroD,ArD
2,11,8,1,qaAlu,qaAla,qwl
2,11,8,2,w^A@,,
2,11,9,1,<in~a,<in~,
2,11,9,2,maA,"maA
",
2,11,10,1,naHonu,,
2,11,11,1,muSoliHuwna,muSoliH,SlH
2,12,1,1,>alaA^,">alaA^
",
2,12,2,1,<in~a,<in~,
2,12,2,2,humo,,
2,12,3,1,humu,,
2,12,4,1,{lo,,
2,12,4,2,mufosiduwna,mufosid,fsd
2,12,5,1,wa,,
2,12,5,2,la`kin,"la`kin
",
2,12,6,1,l~aA,"laA
",
2,12,7,1,ya$oEuru,ya$oEuru,$Er
2,12,7,2,wna,,
2,13,1,1,wa,,
2,13,1,2,<i*aA,"<i*aA
",
2,13,2,1,qiyla,qaAla,qwl
2,13,3,1,la,,
2,13,3,2,humo,,
2,13,4,1,'aAminu,'aAmana,Amn
2,13,4,2,wA@,,
2,13,5,1,ka,,
2,13,5,2,maA^,"maA
",
2,13,6,1,'aAmana,'aAmana,Amn
2,13,7,1,{l,,
2,13,7,2,n~aAsu,n~aAs,nws
2,13,8,1,qaAlu,qaAla,qwl
2,13,8,2,w^A@,,
2,13,9,1,>a,,
2,13,9,2,nu&ominu,'aAmana,Amn
2,13,10,1,ka,,
2,13,10,2,maA^,"maA
",
2,13,11,1,'aAmana,'aAmana,Amn
2,13,12,1,{l,,
2,13,12,2,s~ufahaA^'u,safiyh,sfh
2,13,13,1,>alaA^,">alaA^
",
2,13,14,1,<in~a,<in~,
2,13,14,2,humo,,
2,13,15,1,humu,,
2,13,16,1,{l,,
2,13,16,2,s~ufahaA^'u,safiyh,sfh
2,13,17,1,wa,,
2,13,17,2,la`kin,"la`kin
",
2,13,18,1,l~aA,"laA
",
2,13,19,1,yaEolamu,Ealima,Elm
2,13,19,2,wna,,
2,14,1,1,wa,,
2,14,1,2,<i*aA,"<i*aA
",
2,14,2,1,laqu,laqu,lqy
2,14,2,2,wA@,,
2,14,3,1,{l~a*iyna,{l~a*iY,
2,14,4,1,'aAmanu,'aAmana,Amn
2,14,4,2,wA@,,
2,14,5,1,qaAlu,qaAla,qwl
2,14,5,2,w^A@,,
2,14,6,1,'aAma,'aAmana,Amn
2,14,6,2,n~aA,,
2,14,7,1,wa,,
2,14,7,2,<i*aA,"<i*aA
",
2,14,8,1,xala,xalaA,xlw
2,14,8,2,woA@,,
2,14,9,1,<ilaY`,"<ilaY`
",
2,14,10,1,$aya`Tiyni,$ayoTa`n,$Tn
2,14,10,2,himo,,
2,14,11,1,qaAlu,qaAla,qwl
2,14,11,2,w^A@,,
2,14,12,1,<in~a,<in~,
2,14,12,2,A,,
2,14,13,1,maEa,maE,
2,14,13,2,kumo,,
2,14,14,1,<in~a,<in~,
2,14,14,2,maA,"maA
",
2,14,15,1,naHonu,,
2,14,16,1,musotahozi'uwna,musotahozi'uwn,hzA
2,15,1,1,{ll~ahu,{ll~ah,Alh
2,15,2,1,yasotahozi}u,{sotuhozi}a,hzA
2,15,3,1,bi,,
2,15,3,2,himo,,
2,15,4,1,wa,,
2,15,4,2,yamud~u,mad~a,mdd
2,15,4,3,humo,,
2,15,5,1,fiY,"fiY
",
2,15,6,1,Tugoya`ni,Tugoya`n,Tgy
2,15,6,2,himo,,
2,15,7,1,yaEomahu,yaEomahu,Emh
2,15,7,2,wna,,
2,16,1,1,>uw@la`^}ika,>uwla`^}ik,
2,16,2,1,{l~a*iyna,{l~a*iY,
2,16,3,1,{$otara,{$otaraY`,$ry
2,16,3,2,wuA@,,
2,16,4,1,{l,,
2,16,4,2,D~ala`lapa,Dala`lap,Dll
2,16,5,1,bi,,
2,16,5,2,{lo,,
2,16,5,3,hudaY`,hudFY,hdy
2,16,6,1,fa,,
2,16,6,2,maA,"maA
",
2,16,7,1,rabiHat,rabiHat,rbH
2,16,8,1,t~ija`ratu,tija`rap,tjr
2,16,8,2,humo,,
2,16,9,1,wa,,
2,16,9,2,maA,"maA
",
2,16,10,1,kaAnu,kaAna,kwn
2,16,10,2,wA@,,
2,16,11,1,muhotadiyna,m~uhotaduwn,hdy
2,17,1,1,mavalu,maval,mvl
2,17,1,2,humo,,
2,17,2,1,ka,,
2,17,2,2,mavali,maval,mvl
2,17,3,1,{l~a*iY,{l~a*iY,
2,17,4,1,{sotawoqada,{sotawoqada,wqd
2,17,5,1,naArFA,naAr,nwr
2,17,6,1,fa,,
2,17,6,2,lam~aA^,"lam~aA
",
2,17,7,1,>aDaA^'ato,>aDaA^'a,DwA
2,17,8,1,maA,"maA
",
2,17,9,1,Hawola,Hawol,Hwl
2,17,9,2,"hu,",,
2,17,10,1,*ahaba,*ahaba,*hb
2,17,11,1,{ll~ahu,{ll~ah,Alh
2,17,12,1,bi,,
2,17,12,2,nuwri,nuwr,nwr
2,17,12,3,himo,,
2,17,13,1,wa,,
2,17,13,2,taraka,taraka,trk
2,17,13,3,humo,,
2,17,14,1,fiY,"fiY
",
2,17,15,1,Zuluma`tK,Zuluma`t,Zlm
2,17,16,1,l~aA,"laA
",
2,17,17,1,yuboSiru,>aboSara,bSr
2,17,17,2,wna,,
2,18,1,1,Sum~N[,>aSam~,Smm
2,18,2,1,bukomN,>abokam,bkm
2,18,3,1,EumoYN,>aEomaY`,Emy
2,18,4,1,fa,,
2,18,4,2,humo,,
2,18,5,1,laA,"laA
",
2,18,6,1,yarojiEu,rajaEa,rjE
2,18,6,2,wna,,
2,19,1,1,>awo,">aw
",
2,19,2,1,ka,,
2,19,2,2,Say~ibK,Say~ib,Swb
2,19,3,1,m~ina,"min
",
2,19,4,1,{l,,
2,19,4,2,s~amaA^'i,samaA^',smw
2,19,5,1,fiy,"fiY
",
2,19,5,2,hi,,
2,19,6,1,Zuluma`tN,Zuluma`t,Zlm
2,19,7,1,wa,,
2,19,7,2,raEodN,raEod,rEd
2,19,8,1,wa,,
2,19,8,2,baroqN,baroq,brq
2,19,9,1,yajoEalu,jaEala,jEl
2,19,9,2,wna,,
2,19,10,1,>aSa`biEa,>aSa`biE,SbE
2,19,10,2,humo,,
2,19,11,1,fiY^,"fiY
",
2,19,12,1,'aA*aAni,>u*unN,A*n
2,19,12,2,him,,
2,19,13,1,m~ina,"min
",
2,19,14,1,{l,,
2,19,14,2,S~awa`Eiqi,SaAEiqap,SEq
2,19,15,1,Ha*ara,Ha*ar,H*r
2,19,16,1,{lo,,
2,19,16,2,mawoti,mawot,mwt
2,19,17,1,wa,,
2,19,17,2,{ll~ahu,{ll~ah,Alh
2,19,18,1,muHiyTN[,muHiyT,HwT
2,19,19,1,bi,,
2,19,19,2,{lo,,
2,19,19,3,ka`firiyna,ka`firuwn,kfr
2,20,1,1,yakaAdu,kaAda,kwd
2,20,2,1,{lo,,
2,20,2,2,baroqu,baroq,brq
2,20,3,1,yaxoTafu,xaTifa,xTf
2,20,4,1,>aboSa`ra,baSar,bSr
2,20,4,2,humo,,
2,20,5,1,kul~amaA^,kul~amaA,"kll
"
2,20,6,1,>aDaA^'a,>aDaA^'a,DwA
2,20,7,1,la,,
2,20,7,2,hum,,
2,20,8,1,m~a$a,m~a$a,m$y
2,20,8,2,woA@,,
2,20,9,1,fiy,"fiY
",
2,20,9,2,hi,,
2,20,10,1,wa,,
2,20,10,2,<i*aA^,"<i*aA
",
2,20,11,1,>aZolama,>aZolama,Zlm
2,20,12,1,Ealayo,"EalaY`
",
2,20,12,2,himo,,
2,20,13,1,qaAmu,qaAma,qwm
2,20,13,2,wA@,,
2,20,14,1,wa,,
2,20,14,2,lawo,"law
",
2,20,15,1,$aA^'a,$aA^'a,$yA
2,20,16,1,{ll~ahu,{ll~ah,Alh
2,20,17,1,la,,
2,20,17,2,*ahaba,*ahaba,*hb
2,20,18,1,bi,,
2,20,18,2,samoEi,samoE,smE
2,20,18,3,himo,,
2,20,19,1,wa,,
2,20,19,2,>aboSa`ri,baSar,bSr
2,20,19,3,himo,,
2,20,20,1,<in~a,<in~,
2,20,21,1,{ll~aha,{ll~ah,Alh
2,20,22,1,EalaY`,"EalaY`
",
2,20,23,1,kul~i,kul~,kll
2,20,24,1,$aYo'K,$aYo',$yA
2,20,25,1,qadiyrN,qadiyr,qdr
2,21,1,1,ya`^,,
2,21,1,2,>ay~uhaA,>ay~uhaA,
2,21,2,1,{l,,
2,21,2,2,n~aAsu,n~aAs,nws
2,21,3,1,{Eobudu,Eabada,Ebd
2,21,3,2,wA@,,
2,21,4,1,rab~a,rab~,rbb
2,21,4,2,kumu,,
2,21,5,1,{l~a*iY,{l~a*iY,
2,21,6,1,xalaqa,xalaqa,xlq
2,21,6,2,kumo,,
2,21,7,1,wa,,
2,21,7,2,{l~a*iyna,{l~a*iY,
2,21,8,1,min,"min
",
2,21,9,1,qaboli,qabol,qbl
2,21,9,2,kumo,,
2,21,10,1,laEal~a,laEal~,
2,21,10,2,kumo,,
2,21,11,1,tat~aqu,{t~aqaY`,wqy
2,21,11,2,wna,,
2,22,1,1,{l~a*iY,{l~a*iY,
2,22,2,1,jaEala,jaEala,jEl
2,22,3,1,la,,
2,22,3,2,kumu,,
2,22,4,1,{lo,,
2,22,4,2,>aroDa,>aroD,ArD
2,22,5,1,fira`$FA,fira`$,fr$
2,22,6,1,wa,,
2,22,6,2,{l,,
2,22,6,3,s~amaA^'a,samaA^',smw
2,22,7,1,binaA^'F,binaA^',bny
2,22,8,1,wa,,
2,22,8,2,>anzala,>anzala,nzl
2,22,9,1,mina,"min
",
2,22,10,1,{l,,
2,22,10,2,s~amaA^'i,samaA^',smw
2,22,11,1,maA^'F,maA^',mwh
2,22,12,1,fa,,
2,22,12,2,>axoraja,>axoraja,xrj
2,22,13,1,bi,,
2,22,13,2,hi.,,
2,22,14,1,mina,"min
",
2,22,15,1,{l,,
2,22,15,2,v~amara`ti,vamara`t,vmr
2,22,16,1,rizoqFA,rizoq,rzq
2,22,17,1,l~a,,
2,22,17,2,kumo,,
2,22,18,1,fa,,
2,22,18,2,laA,"laA
",
2,22,19,1,tajoEalu,jaEala,jEl
2,22,19,2,wA@,,
2,22,20,1,li,,
2,22,20,2,l~ahi,{ll~ah,Alh
2,22,21,1,>andaAdFA,>andaAd,ndd
2,22,22,1,wa,,
2,22,22,2,>antumo,,
2,22,23,1,taEolamu,Ealima,Elm
2,22,23,2,wna,,
2,23,1,1,wa,,
2,23,1,2,<in,"<in
",
2,23,2,1,kun,kaAna,kwn
2,23,2,2,tumo,,
2,23,3,1,fiY,"fiY
",
2,23,4,1,rayobK,rayob,ryb
2,23,5,1,m~i,"min
",
2,23,5,2,m~aA,"maA
",
2,23,6,1,naz~alo,naz~ala,nzl
2,23,6,2,naA,,
2,23,7,1,EalaY`,"EalaY`
",
2,23,8,1,Eabodi,Eabod,Ebd
2,23,8,2,naA,,
2,23,9,1,fa,,
2,23,9,2,>otu,>ataY,Aty
2,23,9,3,wA@,,
2,23,10,1,bi,,
2,23,10,2,suwrapK,suwrap,swr
2,23,11,1,m~in,"min
",
2,23,12,1,m~ivoli,mivol,mvl
2,23,12,2,hi.,,
2,23,13,1,wa,,
2,23,13,2,{doEu,daEaA,dEw
2,23,13,3,wA@,,
2,23,14,1,$uhadaA^'a,$ahiyd,$hd
2,23,14,2,kum,,
2,23,15,1,m~in,"min
",
2,23,16,1,duwni,duwn,dwn
2,23,17,1,{ll~ahi,{ll~ah,Alh
2,23,18,1,<in,"<in
",
2,23,19,1,kun,kaAna,kwn
2,23,19,2,tumo,,
2,23,20,1,Sa`diqiyna,SaAdiq,Sdq
2,24,1,1,fa,,
2,24,1,2,<in,"<in
",
2,24,2,1,l~amo,"lam
",
2,24,3,1,tafoEalu,faEala,fEl
2,24,3,2,wA@,,
2,24,4,1,wa,,
2,24,4,2,lan,"lan
",
2,24,5,1,tafoEalu,faEala,fEl
2,24,5,2,wA@,,
2,24,6,1,fa,,
2,24,6,2,{t~aqu,{t~aqaY`,wqy
2,24,6,3,wA@,,
2,24,7,1,{l,,
2,24,7,2,n~aAra,naAr,nwr
2,24,8,1,{l~atiY,{l~a*iY,
2,24,9,1,waquwdu,waquwd,wqd
2,24,9,2,haA,,
2,24,10,1,{l,,
2,24,10,2,n~aAsu,n~aAs,nws
2,24,11,1,wa,,
2,24,11,2,{lo,,
2,24,11,3,HijaArapu,HijaArap,Hjr
2,24,12,1,>uEid~ato,>aEad~a,Edd
2,24,13,1,li,,
2,24,13,2,lo,,
2,24,13,3,ka`firiyna,ka`firuwn,kfr
2,25,1,1,wa,,
2,25,1,2,ba$~iri,bu$~ira,b$r
2,25,2,1,{l~a*iyna,{l~a*iY,
2,25,3,1,'aAmanu,'aAmana,Amn
2,25,3,2,wA@,,
2,25,4,1,wa,,
2,25,4,2,Eamilu,Eamila,Eml
2,25,4,3,wA@,,
2,25,5,1,{l,,
2,25,5,2,S~a`liHa`ti,S~a`liHa`t,SlH
2,25,6,1,>an~a,>an~,
2,25,7,1,la,,
2,25,7,2,humo,,
2,25,8,1,jan~a`tK,jan~ap,jnn
2,25,9,1,tajoriY,jarayo,jry
2,25,10,1,min,"min
",
2,25,11,1,taHoti,taHot,tHt
2,25,11,2,haA,,
2,25,12,1,{lo,,
2,25,12,2,>anoha`ru,nahar,nhr
2,25,13,1,kul~amaA,kul~amaA,"kll
"
2,25,14,1,ruziqu,razaqa,rzq
2,25,14,2,wA@,,
2,25,15,1,mino,"min
",
2,25,15,2,haA,,
2,25,16,1,min,"min
",
2,25,17,1,vamarapK,vamarap,vmr
2,25,18,1,r~izoqFA,rizoq,rzq
2,25,19,1,qaAlu,qaAla,qwl
2,25,19,2,wA@,,
2,25,20,1,ha`*aA,ha`*aA,
2,25,21,1,{l~a*iY,{l~a*iY,
2,25,22,1,ruziqo,razaqa,rzq
2,25,22,2,naA,,
2,25,23,1,min,"min
",
2,25,24,1,qabolu,qabol,qbl
2,25,25,1,wa,,
2,25,25,2,>utu,>ataY,Aty
2,25,25,3,wA@,,
2,25,26,1,bi,,
2,25,26,2,hi.,,
2,25,27,1,muta$a`bihFA,muta$a`bih,$bh
2,25,28,1,wa,,
2,25,28,2,la,,
2,25,28,3,humo,,
2,25,29,1,fiy,"fiY
",
2,25,29,2,haA^,,
2,25,30,1,>azowa`jN,zawoj,zwj
2,25,31,1,m~uTah~arapN,m~uTah~arap,Thr
2,25,32,1,wa,,
2,25,32,2,humo,,
2,25,33,1,fiy,"fiY
",
2,25,33,2,haA,,
2,25,34,1,xa`liduwna,xa`lid,xld
2,26,1,1,<in~a,<in~,
2,26,2,1,{ll~aha,{ll~ah,Alh
2,26,3,1,laA,"laA
",
2,26,4,1,yasotaHoYi.^,yasotaHoYi.^,Hyy
2,26,5,1,>an,">an
",
2,26,6,1,yaDoriba,Daraba,Drb
2,26,7,1,mavalFA,maval,mvl
2,26,8,1,m~aA,"maA
",
2,26,9,1,baEuwDapF,baEuwDap,bED
2,26,10,1,fa,,
2,26,10,2,maA,"maA
",
2,26,11,1,fawoqa,fawoq,fwq
2,26,11,2,haA,,
2,26,12,1,fa,,
2,26,12,2,>am~aA,">am~aA
",
2,26,13,1,{l~a*iyna,{l~a*iY,
2,26,14,1,'aAmanu,'aAmana,Amn
2,26,14,2,wA@,,
2,26,15,1,fa,,
2,26,15,2,yaEolamu,Ealima,Elm
2,26,15,3,wna,,
2,26,16,1,>an~a,>an~,
2,26,16,2,hu,,
2,26,17,1,{lo,,
2,26,17,2,Haq~u,Haq~,Hqq
2,26,18,1,min,"min
",
2,26,19,1,r~ab~i,rab~,rbb
2,26,19,2,himo,,
2,26,20,1,wa,,
2,26,20,2,>am~aA,">am~aA
",
2,26,21,1,{l~a*iyna,{l~a*iY,
2,26,22,1,kafaru,kafara,kfr
2,26,22,2,wA@,,
2,26,23,1,fa,,
2,26,23,2,yaquwlu,qaAla,qwl
2,26,23,3,wna,,
2,26,24,1,maA*aA^,"maA*aA
",
2,26,25,1,>araAda,>araAda,rwd
2,26,26,1,{ll~ahu,{ll~ah,Alh
2,26,27,1,bi,,
2,26,27,2,ha`*aA,ha`*aA,
2,26,28,1,mavalFA,maval,mvl
2,26,29,1,yuDil~u,>aDal~a,Dll
2,26,30,1,bi,,
2,26,30,2,hi.,,
2,26,31,1,kaviyrFA,kaviyr,kvr
2,26,32,1,wa,,
2,26,32,2,yahodiY,hadaY,hdy
2,26,33,1,bi,,
2,26,33,2,hi.,,
2,26,34,1,kaviyrFA,kaviyr,kvr
2,26,35,1,wa,,
2,26,35,2,maA,"maA
",
2,26,36,1,yuDil~u,>aDal~a,Dll
2,26,37,1,bi,,
2,26,37,2,hi.^,,
2,26,38,1,<il~aA,"<il~aA
",
2,26,39,1,{lo,,
2,26,39,2,fa`siqiyna,faAsiq,fsq
2,27,1,1,{l~a*iyna,{l~a*iY,
2,27,2,1,yanquDu,naqaDato,nqD
2,27,2,2,wna,,
2,27,3,1,Eahoda,Eahod,Ehd
2,27,4,1,{ll~ahi,{ll~ah,Alh
2,27,5,1,min[,"min
",
2,27,6,1,baEodi,baEod,bEd
2,27,7,1,miyva`qi,m~iyva`q,wvq
2,27,7,2,hi.,,
2,27,8,1,wa,,
2,27,8,2,yaqoTaEu,quTiEa,qTE
2,27,8,3,wna,,
2,27,9,1,maA^,"maA
",
2,27,10,1,>amara,>amara,Amr
2,27,11,1,{ll~ahu,{ll~ah,Alh
2,27,12,1,bi,,
2,27,12,2,hi.^,,
2,27,13,1,>an,">an
",
2,27,14,1,yuwSala,yaSilu,wSl
2,27,15,1,wa,,
2,27,15,2,yufosidu,>afosadu,fsd
2,27,15,3,wna,,
2,27,16,1,fiY,"fiY
",
2,27,17,1,{lo,,
2,27,17,2,>aroDi,>aroD,ArD
2,27,18,1,>uw@la`^}ika,>uwla`^}ik,
2,27,19,1,humu,,
2,27,20,1,{lo,,
2,27,20,2,xa`siruwna,xa`siriyn,xsr
2,28,1,1,kayofa,kayof,"kyf
"
2,28,2,1,takofuru,kafara,kfr
2,28,2,2,wna,,
2,28,3,1,bi,,
2,28,3,2,{ll~ahi,{ll~ah,Alh
2,28,4,1,wa,,
2,28,4,2,kun,kaAna,kwn
2,28,4,3,tumo,,
2,28,5,1,>amowa`tFA,m~ay~it,mwt
2,28,6,1,fa,,
2,28,6,2,>aHoya`,>aHoyaA,Hyy
2,28,6,3,kumo,,
2,28,7,1,vum~a,"vum~
",
2,28,8,1,yumiytu,>amaAta,mwt
2,28,8,2,kumo,,
2,28,9,1,vum~a,"vum~
",
2,28,10,1,yuHoyiy,>aHoyaA,Hyy
2,28,10,2,kumo,,
2,28,11,1,vum~a,"vum~
",
2,28,12,1,<ilayo,"<ilaY`
",
2,28,12,2,hi,,
2,28,13,1,turojaEu,rajaEa,rjE
2,28,13,2,wna,,
2,29,1,1,huwa,,
2,29,2,1,{l~a*iY,{l~a*iY,
2,29,3,1,xalaqa,xalaqa,xlq
2,29,4,1,la,,
2,29,4,2,kum,,
2,29,5,1,m~aA,"maA
",
2,29,6,1,fiY,"fiY
",
2,29,7,1,{lo,,
2,29,7,2,>aroDi,>aroD,ArD
2,29,8,1,jamiyEFA,jamiyE,jmE
2,29,9,1,vum~a,"vum~
",
2,29,10,1,{sotawaY`^,{sotawaY`^,swy
2,29,11,1,<ilaY,"<ilaY`
",
2,29,12,1,{l,,
2,29,12,2,s~amaA^'i,samaA^',smw
2,29,13,1,fa,,
2,29,13,2,saw~aY`,saw~aY`,swy
2,29,13,3,hun~a,,
2,29,14,1,saboEa,saboE,sbE
2,29,15,1,sama`wa`tK,samaA^',smw
