sourate,versets,ahkam
2,54,11021221101221011210110101211121121110101124122111010141211102110101110121211101211101012211121120
2,55,110101022212011111211211012111101121111121012120
2,56,121102122101101101111010120
2,57,1110211011012111210211011012110212121121211021012112212122412111010120
2,58,110101012211010111121021011010112101202111212211120101101221011121010120
2,59,1111121112101010112211101121021112111210121141122210120
2,60,1110102221101211010111210111121110101012101110210111111212011101210121101211210101010110120
2,61,11010102221201112122212101121111010121412110101121012114121212111121111221110101211211102112111010101210211211411010111101101111110101111421111212121111210221012112212111012121211101011211121212210120
2,62,12121212112122122212121102111211010102111111212111010110121111012101011010121010120
2,63,11011022211011102101112112421021211121012221111101120
2,64,1211101221012111102101211101011011211212102120
2,65,111011011121011012101101110211022111102120
2,66,111022121121011102121012110111101120
2,67,110212211014122110111012101211122411111211221121121101211102120
2,68,2201121111111221121122121122111122121210101221012111012210120
2,69,2201121111111221012211221211221112104121110121114120
2,70,2201121111111221112011112111102116124121110120
2,71,211221211221111212212101011210101011111121112222021101101111122122210120
2,72,110110101021220102212110114121010120
2,73,110101211101212111012101021121022121111010120
2,74,12110121122101211111101211101111012112110121112111111010102111210212111111011101041112102121011101011211121121101410120
2,75,1110121121012110110211212010101211212112111212121012112111010120
2,76,1121212121224214112121011012102241111211212111211101011621212121111011210120
2,77,1121012112211011211211210120
2,78,110101421210121012114121111010121140
2,79,110111211012101211102101212212210121211101212112122110111241110102101101112410120
2,80,1221211114114121202121011101012121102112101121101410122111212210120
2,81,121211111121121012141121141110214110222120
2,82,11212121112212114111021012110222120
2,83,11011022211410421210121112111021101102211010210122101221122141102112212112212112111010121212210112120120
2,84,110110222110210121141101210121121112212110121010101121010120
2,85,1212104141101211211101101211212212212110121211101210101101021112102101221221011111110110101021101110121110101211101211102121411210112111210121021012110211010121111211411101211121121101410120
2,86,14111210111012110210211112111110110121121012120
2,87,1110210221012111102121012111112102210110110112111102112101111111241101221221041211110101010112211010112210120
2,88,1221212102111111211101101121410120
2,89,1144110121201212111111211101221210110101211112111211441141121121211011211102120
2,90,101101101412111012101214121121101012111121121012121214110121214211110121121102121121220
2,91,11221110212141211212210111412111102110121121412111011111112111010111101211214121121011212120120
2,92,11104114210112112110110101121012112102120
2,93,110110222110111021011121124210212111210122211021110211012212111010111011010101210111214221101212120120
2,94,101221011121021111212121112221411112101011212102120
2,95,1121112011121211101021012112212120
2,96,1111121010114112122111121101211111110101121101112121111101121101211211211211221210120
2,97,101221111102111221112121011110121111112101110111211021010120
2,98,12211112111411121111211021122111221111102120
2,99,11101210411012221122121011141102120
2,100,111122121012112121201210101110210120
2,101,11441101212012121111112111011112121121220121121211411211011210210120
2,102,11122102122112101110211211111021121212211121112141101141211110111011211221122112111211011101212412210110121210101111121101221112112101010111012121216211210111012110121111112121111012121110111011211101212121021111012211101211014121110102210120
2,103,11012102121110112112012121101102210120
2,104,411112121221222121222102101211021211210120
2,105,21111211121010101211101012112111111012010121110121101111011212141121101010120
2,106,212101021101012121011101204101014110101012211211102120
2,107,110101012211210112211010112112221211211212120
2,108,101221121012121101211122121011121111101011022111011141120
2,109,11121201010121101121122101221101210111201211211122101211111110111021012121011211101412211211102120
2,110,11221211221211211121121112010211211212112211210121120
2,111,12212101101211212212101012210112111010221021101212102120
2,112,1210101110121211111012114101212111212101011010121010120
2,113,1211012110112221210212112221011012112102110102101211211211212101211011011012110111011010101211222221101120
2,114,110101112211121121121011210121122121414112211101210124124121110110210211101021111210120
2,115,112101011101011110121121121012112212110120
2,116,12211121112102121122112211010111122120
2,117,12112211010111214102112212112121120
2,118,121121210121102111112110102421212112112112101120110110121101211010112022111022120
2,119,16101021101112211221210111010210120
2,120,112102121012111222121111111101012112111012111111011041121011241111010121111211211212120
2,121,1121210211012110212111211414111012112112101012114111102120
2,122,21410421012101111410101110101141101101102120
2,123,11210121021010120210212101110210212121121212121012120
2,124,1110141022111211122111212211421111411222111211122121211012120
2,125,1101101010112111411102111212211022111111041410221110221121121011141211021211111120
2,126,11021102211101022111021210101012111121102111012121101010211211121111111121221210114121214111010120
2,127,110101110221012111101011102211121110161211211210120
2,128,11210102101101111121111412120111111112121121101104121121121120
2,129,112101021012120101021101022111111111012110101111121012112101210120
2,130,1121011121110221121211110121111011021110211221021111112120
2,131,1021121141010211010111102120
2,132,112141022112111021211112210121112112121212112120120
2,133,101210114110111102101011021112121012112102221011121111212411102211102211102112221211011210120
2,134,1011221011012211101114110101210121142210120
2,135,12222210101221012101011110221122122111010120
2,136,2421412114121111021412111410221110221110211102110102114211221221421121211111021111101111201011011210120
2,137,1102121101421212121110121121110112210212211102111211111210120
2,138,1011211101011112110121101122120
2,139,101162121211111121111011410212111010211011011210120
2,140,101221121022111022111021110211010212221010122101121010111121110101112211112110121211211121121101410120
2,141,1011221011012211101114110101210121142210120
2,142,112111411141212101210111112221102112101011101011102121411212120120
2,143,112111102101221111122114111411121121110101221211010101112121110412110111211111211221211112111011122101121101211121112112212111212211012211411121120
2,144,101211111011114111111121101210221111011101010110121110121210112121101012112121220121110121121011111101121121101410120
2,145,111011011212201211112114112101111412112121011101210112121210111021111110110411221012411110101121111112120
2,146,112121021101211012121210121104110112121201011012101111010120
2,147,1011111112121211010120
2,148,1112101101111221011201021101212210111121121012211211102120
2,149,110101110111110111010101101211122101111111121121101410120
2,150,1101011101111101110101011012111012121011212110101211212114111010111011121112101012101010101021111210121101011111010120
2,151,141010221012122101021101022121112101111111012110101111111141012210120
2,152,10124101010101221210120
2,153,41111212120122110111211221112120
2,154,1212211210112121211022101042121210120
2,155,11101121211012101011021110121010211012111112111112120
2,156,112114121012212241412111611012120
2,157,141111010112121110110121141111010120
2,158,1212101011121411211101101011101111212111011211111121121111102112212110120
2,159,12121101214121021101121101212101211411411012114111011112111011112120
2,160,11121221101211121141112111010111121120
2,161,121211121221101210141111010101121101411114110120
2,162,2121222111110110121121012120
2,163,112110122211412112111021120
2,164,1221011221101011012110112211010112102101011212114114121121111411621102110101101101211122121161211021121112101111101141101011221110210120
2,165,1114112111112212112221121101112111212141111121110111211141011010121120111121122112211210120
2,166,101111121112111211121111012111111011101020
2,167,121121112101212112111111101012111214121112112110211011210110101212121211140
2,168,41114112141010112211212111211211021122110111220
2,169,12210111214110104111212211212210120
2,170,1122111111241211212210111141010211012414111021241102101211021210120
2,171,111112111211111210111221011121421142121010102110210120
2,172,4111121212121211212110210101212112121012110120
2,173,122111110110101111111010122114111121101211110111012212221410111011221121120
2,174,1212110121412112111012111012112112121014112101212121101141121111112110101211121121011101210120
2,175,1411121011112111012101211010111141011101140
2,176,211112211110121101111212101121012112122120
2,177,10101112112121101110101110101112120111021112110101021110141111012112121121021121121101021012210122110112114121111211121121121121102211101101221212121101041114112101011411121112114111101120
2,178,4111121212111110110121101010111011101011010110122101221101111210121102112210102111410110111022211102121110110121110121012111121210120
2,179,11101012112241101021111101120
2,180,1111101012111111110101121111010101111102110110101211010211101101120
2,181,112111210121112112410121112111121412211210120
2,182,1102114211101010211011101101410111011221121120
2,183,41111212121111101112112111111211210110111101120
2,184,1212022211221121221010121121111201210111111121122121012121102211211111021111011211212210111012121010120
2,185,10111211412112101021111411112121012101021112111121110110110111221121010121121111201210111121211110101121211110101111012011111111221122121011111010120
2,186,1121111122141141210121101121121211010122210101221111010120
2,187,1111101011121111121411012121110112101211121112112101210102211211101211101011212101021212121012211121110112101212111111110101010111101010101111010112114121111011212121211210212110121110112121121012212111111212212141111101120
2,188,12101410211210112102111102141101211101212120102141101011121010120
2,189,1012111101111101112211411011110101111210201211212121212011111210201211010212112211111010120
2,190,1212212121121121211012101412212111010120
2,191,10121010111012101101212010110121010101111111010112121210121010110121121212102111221210101210121114102120
2,192,111211011221121120
2,193,1212101221211012112121121111211012102112112120
2,194,11010121110101211011211221110121101010121101110110121101011221101412211101120
2,195,11212212121121021102101110111110141221111010120
2,196,111401110101112111010101011010111101011210121211012101101011112112211212210101411210121101122121010111101011211411210112111110101111011110101111010111101101121121112210111101101211010101111221122111110110101221101011012111221101412211210120
2,197,101110112022211211121201112111121211212110111210121010210101211111211210121102112141101020
2,198,10111010121012101210121110114110120112210122112101011012110121121210112121221012111620
2,199,121221010112141101012211221121120
2,200,1121101221110101221110110241101011110211141121211142121102121210211110120
2,201,110122121114212110211121102111111211212140
2,202,1411110121241121211210120
2,203,10122141212022211211112101011410111011121111141011101111121122110141210110110120
2,204,1114112101111012101211021101121122210121111110120
2,205,11211212101011101122110110101120112121110120
2,206,1122111112111101011110101110121121111010120
2,207,11141121021011014110212112112210120
2,208,4111121212012110161212111211211021122110111220
2,209,11211012210124101101121101412211210120
2,210,101212114121011112121112101211014111111101011112110110120
2,211,101410421102102120212111211211101011211210124101112211210120
2,212,1111121112012110211012111121212112111010110101012111211011121411101120
2,213,2141122211211112121211112111212111211111101211011110111014121011221110111211112122112101241011011211021011011121121212110112211101111012121102121411212120120
2,214,10110101210120121114101121112111012101121011010411141110121212112111212121121210121141210121120
2,215,1012112212121104121012010211021101101012110122101221101121121012101021122112120
2,216,1111101101211111011101141210121021111011101141211210211111110121101111210210120
2,217,10121111101012112221101222112211101212121110212101011012111021101210110111212110101110111101011212211212110121121012211011012211210110121012212111011121211411111010211011021021111141110214110222120
2,218,121212121121212121221212114111021101121121121120
2,219,10121111010110101110214102122112111411101141011120112110121122121211101011211111121111022111110111120
2,220,11021021111101211110122101021110102112121210110211012110110101111010111104121110111012211210120
2,221,12121201012112101211111201110101220112110101101012121201012112101211101201101012201211010111014111021114112110411012110101111101211111221214111110111120
2,222,1101211110121101112101122411012112101212121010111211101102121010111111211221111122111110111120
2,223,14110101110102101101410101112112111011221101412122211111010120
2,224,121012211011110211012112111211012101411211210120
2,225,212111121110141021101212121112121110121101211210120
2,226,1121102112411011111011110121124211221121120
2,227,110112121112211210120
2,228,101112111110111211121211142121111121210101211121410211212121012121101010211112111211111112221110124102211121011211012101021111211101211121211210120
2,229,112111211102211021010102211022121111101210121621012121010141212412122121211101010121221212112121110122101101210112121121012211211111212111411112120
2,230,1121112121111212101121211101010121121112121211101412112141216121221212111011212111112110210120
2,231,1121101124111101111121101212110210101121211022121012121211101211210102111101111012121114221211121012101121110101412111101210121101011111121211221101412211111010120
2,232,1121101124111101111121210121212121011021121212101011210102121121112122112101011121101010211211010211011011121101111210210120
2,233,10212110101102112101012110111012112112121111101021121011211011121010212111110101210122161211211112121021121111211102111012111101221210121212012112121212111012110111012101014102110121211101012110162101210102111221101412211210121120
2,234,1121111101121011121102211110111211121011110121102112110111112121211101022110141211121010211211210121120
2,235,1212111010221101212101011241101012104121110111211210110121121212121212110141212210120221210121011221121011012111121014122110112412111010121101412211210120
2,236,2121110101211011241210112121010121121212111212110211111211101011111212210102111011010120
2,237,112110121212101121121211011010112121211012110101412102110101112111210112211121041011110212121101011011012211210121120
2,238,212111121112101021221212120
2,239,1101010112101010221141121010122112111141012210120
2,240,11211111011210111211022111111021122101101011011022110110112121110102211014121112120221211210120
2,241,110111211221010211101101120
2,242,121111112111022121111010120
2,243,110111112111212121101101210111010112111121221210210122112101011411212101141210120
2,244,1212212121101412211210120
2,245,12112101121101011211211214102212121211011110111110110120
2,246,110111101111214104211210124102211111110101211122102121212110110101211111011012112121222121412121121212111010102121212110412114111110110121111012121201012112212120
2,247,1211101111012211011111022111224141211101011102110111110101101110101111210212112210121110101212101210101101011211021012121411212110120
2,248,121110111101221110141210111122121121121110111112411121221212211011101411112221112111101212120120
2,249,114111221101212112211012121112112111101110114111010101112216121101111012111211121011212120101142112111121212112222211110101122111212211211141121222211221121211011101121212110121121112120
2,250,11411212211121222114101011021021110102121210211010102120
2,251,11121211012111112212211221210101101011111121414111021012141101121101111110101121221210101102120
2,252,101221211022110110111121111010120
2,253,1011111102101101210020122111211111101101122121022101101101121111021121011111041211011112112101122101241011011211211011211012021111012211111041211011212122110112120
2,254,4111121214121214110212210112101110121022112112121212102121112120
2,255,1214121121101101212101121121210112211221121010112112101112141211012101121011021012101101212211101201014121241111101111221101011212121011211101110120
2,256,410211211111110111011112101012211101212111101011101011010212121121211210120
2,257,121111121212101112111211141112111410141112211012112141111121141110214110222120
2,258,11011111261102212114102212101011021102211111210211212111102112121102211122110211011101011101121101011111112111121210101012120
2,259,10112111210121112111012121221141022112110110121121121111221211122110110121110110101010110221111011112212101212111121110111201210121211111011121114112101101211011211212102210211411111221101112211211102120
2,260,110211022111112101101010221111010122112121110112102211101011121101110121101120101211111201210212011210211102101012211210120
2,261,11112112121102110212121111111101211010112112111211141111212112111121411212110120
2,262,112112121102110212121122101214121212141111010110121111012101011010121010120
2,263,1012022110111010122111210114121211110120
2,264,41111212122101211211210121012112121121214141121011121101010211111121111102101101122112122121111210121012112101241121212101010102120
2,265,11111211212110211101411021211102120121110111112211011012122121210111210101111011022121121211210121120
2,266,1111111101212112121222211022102121011010211222121111211121101111121112114111214102221221011101211111121111022111110111120
2,267,41111212141212121121211010116101021121010112112201211011212111012121211412101221101412211110120
2,268,11021111110101110111210104112111112011120111021212110120
2,269,101010111214111210101011110211102122121111141201020
2,270,1412101221110101101220211221101121212121101220
2,271,1210211211114111121022110210114111110111011111121221121101211210121120
2,272,10111011210121221102121411212121010211121110121212111014110121121212101021111101011210210120
2,273,101141121101221212121012211021010110111102111014111111110111212210210121411022121212101021122112120
2,274,1121121211021121101122112112112111010110121111012101011010121010120
2,275,11211012112212211212121121111111021110112111121024121010110112111121010111111211241210111211212121122111110141121110211141110214110222120
2,276,10112112110111211212111111210120
2,277,12121212111221211122121121112111010110121111012101011010121010120
2,278,41111212121221112211111141212120120
2,279,1110101210121101212111212112101011101211021102101211210120
2,280,11221210121111101210112112111210111012121010120
2,281,11210210121211121121121110141110110210120
2,282,4111121214121212121101014111211012110101101102121010112101211012101112111121101010101011121101011101112111212101010110211221121101011121010121010210121121111110101011121010110101212101112110111012211101111210112112210101111141121111021211111102110102121011141122121210141210121121010121014111221101011121211101111211110412102414121211211021121221210110110111010121012101221101412121010121612121212211210121122122110112211111111211211111010120
2,283,1121210121121101122121121202121101111011210210111110111121121011121112121012121111210102112421210121211210121120
2,284,12121122112101011121022412111010102112101211211101111214111111121411211211102120
2,285,21112114121111011112101012111021112111411121111211112211111011112111212211021110210211112111010120
2,286,211112110101210121221110111021011101122121041224101010211212101011041021211012111211210121121211202222111212101141010121010412110221210211010102120
3,1,10121102112111066
3,2,121412112110110120
3,3,1111101012110111111121011101112111021101220
3,4,121011114111211010211212111212212111012212212112212120
3,5,12212102110110210101121140
3,6,11121111101010211011414121121101210120
3,7,111412111101012110122120121012120121111111212211212121211010211112121211101014101011101411021212101110214112112121101011221214121120121112121111141201020
3,8,1122110121210110110121101211121101101211210120
3,9,1141212114111012101211221210110220
3,10,12121112121011101010211014102112121102114111012140
3,11,110121101011121121011011212212111111211121101211210120
3,12,1112111211012111012112112111010120
3,13,10211102122111010112112121121212111022112110112010101010101121111111012121411222111101111101020
3,14,1111411111211124110121101221011211111111101111010101111110102110101211121012110212112121010120
3,15,10111111211012221101121110121111014210212101101021212122110212111211021212112112210120
3,16,11211221114124214101012121211212140
3,17,12121121211021211012121101010121101020
3,18,111211224121121110141111120101412101014121121101210120
3,19,122112121010211101111212201211212101241110101102101101121010122121112211210120
3,20,110621110101011011121111111111112122012110142111010101101012111012112111011221101012112112210120
3,21,121211012112212111012121211101121101211211012110101114111101211210120
3,22,141112111101021101102102111121124120
3,23,110111112122121210121101011212121110111011012111212120101120120
3,24,211112102212111141141212022211110221142210120
3,25,1101121102101101210121111101110141110110210120
3,26,112122110101101010112141112110101122141111112141111112141111101011211211102120
3,27,211101122112112211101110110111101111101101111101111011121411101120
3,28,211110101210212110141122101012111210102111101112121010141211210101221111111211012111210120
3,29,1012102221211010102110101211101121122112101011211211102120
3,30,101111111014111010101201212111012421111012101211014112122111111121101212112210120
3,31,1012121011212111122101011211101011012110121121120
3,32,10122211121112111011221211102120
3,33,12210142111221211022112110211102120
3,34,11121012121021211210120
3,35,1021101111021111411011122102111211110161211211210120
3,36,114111022101114110141221211011121110110111110122114120121011116121211111112111021120
3,37,11111211211210112112112121011211112111211211111021111010211111212102212101114112221011101212112211011121411101120
3,38,1211121112112211110211121111211110121121140
3,39,1210101411111141211210102112211111111021112111112121111211221111212120
3,40,2111141212122110111110111101122122112112110112140
3,41,2111014212212111121111411211121012102101111122111010111101020
3,42,110211014111210111221012111111101211214102120
3,43,21011012111110121012112120
3,44,211101241010122111011212111010101021102110111010111011121211101010101120
3,45,1021101411121011122111111111112010110121210110111221102102111111011120
3,46,11111411010111021112120
3,47,210111412121121101010211221121121101121411214102112212112121120
3,48,111111012110101111021101220
3,49,11210121410421141010112121121110161011112121110111011121121112110211012111011010111010111101010211012111111121210121121112121211012221112111101212120120
3,50,11111121011111110211111111210112111110101101121211211101122111220
3,51,12211211110101212212120120
3,52,116111221011010121101224112121012121101122121214121101011410120
3,53,11421414121011110112110102112120
3,54,111211112112110102120
3,55,1021212241411121121111111111111112111212111211121101121114121010121112111101110110111011022121021101120
3,56,11212111211111101221221102102111121124120
3,57,112121212111221211112101211012121112120
3,58,2111021110111022111010120
3,59,1211122121211111211111212122122112121120
3,60,10111111121121010120
3,61,110611211210124111101011101210101104121104110114121141101121121121110121011011011011211102120
3,62,122211101110111210121011211122111101210120
3,63,1121110112211221010120
3,64,104101012112101211121421012110110121011112112101112102121111101210101021222121112111012201211410120
3,65,41010121111621410221141211110211012211212101411210120
3,66,41210414121010221121210211116212210111212102121101111210210120
3,67,22110221121212102121212211212012122111010120
3,68,1210141110221112111211212111121212121111010120
3,69,11411120101012110112110121121141211101210120
3,70,4101012111101211221211121010120
3,71,410101211110121011102111101210111121010120
3,72,1214111201010121212114121111121212101221101421121111010120
3,73,1210141211211121101012012112112104111201422101016210121111010120101111211021121411212110120
3,74,101111011212141121101010120
3,75,1101010121101210101112221114110111012012101011221211141101122101110141221111210221011102101421122112211121011111010120
3,76,1210102110121121122111101120
3,77,1212110121110121110211011212101411212111010211112111111211212111101010101211121121011101210120
3,78,11210101122102110111121012111012111012112111101211122111101212112111012121112211121011111010120
3,79,22111110121011121012110101121111212114122121212212112122212121121210111210121112121010120
3,80,1210111012111201411112121102101101112101011011012120120
3,81,11011121221212114210112212211012124110121211112111011011212111211222111010101110101221101022410102211012111111212120
3,82,112112101211114111102120
3,83,1110121211021114101112112211010110211021110110120
3,84,102141211412111102141211141022111022111021110211010211421122122121211111021111101111201011011210120
3,85,1121011101010212211210111011111021111102120
3,86,1011012110211210122110111412121121411101121121210101012120
3,87,1411141101211010101121101411114110120
3,88,2121222111110110121121012120
3,89,1112122121012111101211221121120
3,90,1212111210122110120221011210111011101141111620
3,91,12121112122110122112101110111120101011121110121414111101210122121124120
3,92,12122011121212141121121212121021122112120
3,93,111212111141042112211110421121012121011211111021101021102110241212102120
3,94,111012112101111210121111411112120
3,95,1011121111211110221122122111010120
3,96,1211110211114111211111212111102120
3,97,212221121221102211121112212121121114111010111012111011221121111122111101102120
3,98,10410101211110121122121121121012210120
3,99,1041010121111121121212110211102121121121011411121121101410120
3,100,4111121214121221212112122012111212101221102120
3,101,11011012111210102110102212112101212112101121211101111212120120
3,102,4111121212122111121212121212112120120
3,103,1011211012112212111210121011211101010121010421111101121101101012110114102211210121210112141112111202121111112111022121111010120
3,104,10112210122102111010111012110102111010111012111141111010120
3,105,121221121111210112121012411101121114111101210120
3,106,10110111221101112211212101101211011101210122110122012112121010120
3,107,1121210110121101210112110222120
3,108,101221211022110110111121121101102120
3,109,112121122112101011112110110120
3,110,12101011210101101411012110102111010111012111101211211102111010121121101112011010121110111102120
3,111,12112101412112121210112110102112212120
3,112,1110110111111012114121101212111012141142111121211111011011010111211112102210121122121110121012141110112211121212210120
3,113,102141201010121122411210212212124110111010120
3,114,10121121101010211110121101021110101110121111212110102111411112120
3,115,1210121010211210121121122101120
3,116,121211121210111010102110141021121211021141110214110222120
3,117,111212121221101211021111222211012101011021141211101101101121111121121012111010120
3,118,4111121212211121211222110210211012212211101011101041101021101210212110101110114111022112121010120
3,119,41210141112110121121101101211012111211212102421411211012110110121111010110221101101221122121120
3,120,121010101112110101121101011121012121121012111221111010110101012211210121120
3,121,110110110101111110101211211101211211210120
3,122,101241121121012101212111112111211011111010120
3,123,111011111211102112101112112211111010120
3,124,10121101012111210111012111101112112112212101411112120
3,125,141210121112110212210110221010101112110112212101411111120
3,126,1211112112102110111011212112121120112101212101210120
3,127,1101111121121114101011101121124120
3,128,101111101011010101211101010111110112102120
3,129,1121211221121010110111121411111112141121121120
3,130,41111212122101214102122112112211111010120
3,131,11241141110102120
3,132,11222111211111010120
3,133,12141210111211101121010111221101011110101120
3,134,112112121114111411021210101102211141121111010120
3,135,1121121122111010114121110112211010121121101121011121112111011212211211010120
3,136,141114112011121110114210212101101021212122110110102120
3,137,101101210110112122101011212101212111011120
3,138,22121141112110111101120
3,139,12112121012112110101011212120120
3,140,12101010102110110101101201211010121121121014111101121121212111111210114112121112120
3,141,111111211212121101102120
3,142,101101012101201211141011211212121210110112120
3,143,111012101120101011210112101011101101211121012120
3,144,121121012122101101210111111114110111211010141021101121211012111011121112110211101212120
3,145,122111010121211211012112121121121101211021012102112110121021111012102111012120
3,146,111122122111121121122121121412110212121121121101221211112120
3,147,122110110141222111010121212110212410121110102121210211010102120
3,148,1221121121102110112102111121111010120
3,149,41111212141212212111211210141021101121122120
3,150,1121102101111014120
3,151,1102212112111210114101212121011101210221102114111011012120
3,152,1110111112110141011211211012112121101011210101010111101221014121411211212212110211212212102111121111010101101111011101212101212101011010120
3,153,10101211210211411211211021041021011211012111110210121222110124121101211221210120
3,154,121211110122101012111122210241112210141121011201012111011411211010111202111112211121101011210210120101112121102141211142102111122110211211010110141102212110121021211011111211111101101011212111011101112122121101111112212110121122121120
3,155,12121111012101010110102112101111110211101211211101121101012211210120
3,156,411112121221221121112122110211012112101011022110221212222121121101121211101221211012110211211211210121120
3,157,1112110102121211011011011121211101101012410120
3,158,11121010110101112110120
3,159,1121011212112111011012111012101011212101011101101010101011012101010101112110111110112112211110111120
3,160,12121011211221111011210101011211212111221012111211011111010120
3,161,122111110121111121010101121110101211121121110141110110210120
3,162,1111111102121112411111212111021112111010120
3,163,1011210121211211221210120
3,164,110122111010121101112101212012111010211010221211121011111110121101011112221210112121220
3,165,1116121012212101101201021010142210111012112111012211211102120
3,166,1412110101011010211110121111011010120
3,167,111011121212121110121021221212111012221010111211110210101010110111010111010102211221110211410121211012110111210120
3,168,1121221102110111210122221121010121012111101011212102120
3,169,121011212111221212110221010410121111010120
3,170,11211422112112101211010121112110101211201011012101011010121010120
3,171,10101211101121211102112212121101010120
3,172,11210122121112112101412111010111211012101011101010120
3,173,112121111411241101121101010101211022212210112111010120
3,174,1211211011212111011010101042111210212112121010120
3,175,122211110211111101412121221012211212120120
3,176,1210121121121211010112101211221102121211210111101210211111101210120
3,177,121210111010110221121122110211101210120
3,178,12101121211141221021101011121110122102110110241021110121220
3,179,22121111101012112412101101121210121111111221211101110110101121221101211112121411212121111121121012111211101010120
3,180,12101121211012114221121121012111011121011111101111212112121010121111212211221101011211210121120
3,181,11011121101121241221122110110140110112221101110121411101121121221210120
3,182,2111211101021011221101112110120
3,183,1121241221111110412101111210121011211022101114110104110111221021011211112101011111012101212102120
3,184,1121121110111111221011421011211111101210120
3,185,111024111010111221110112110101012111121011114111011012111021110121104121210120
3,186,11011241021101121110111011211121220121121011011112110141212211210121112112211101010120
3,187,11011121221121220121111112214112101212111211411211010110121121221101210120
3,188,21011212110121141211121121012121010121210112121121121012111101210120
3,189,11211011221101011211211102120
3,190,122101122110101101211011221122111101020
3,191,112110121211221122112121101111121210112211010111221101222121021111212140
3,192,114121121011411101010121212121101220
3,193,114122110212121221022110212111101214112101012121211101411212111121101020
3,194,11212122111212111112101210101211121210110220
3,195,10121110111014412111121122122111010122101122102112121211012121211012221221212111211111210101121101110112101421021210110102112120121211211212101120
3,196,211121111112111210120
3,197,1221221210210112111010120
3,198,21112111011101101421021210110102121212211120121211212121101101020
3,199,1121010101211121011121141211110101412111101021211212101211221211121210141111010110121111012211210120
3,200,411112121201212121212112211111010120
4,1,1012110211214111411211111211112202211211111021012111101212212211421122112141211210102112212111010122
4,2,1220124102110121111201211111121014102110141021101222122122
4,3,11010101210121012212122211121241102112111211101010121012121110102111010211021110412122
4,4,1222411121121012112101110121012011021121141242
4,5,121021141102111121112111012210121022102101221101012022
4,6,101201221121211222111021012010102101411010102110121012410221121012101211221112101010101122112210101010102111211010110101021101101211010112121122
4,7,11211212411102121101012111241121241110212110101211411101101111212022
4,8,1121110101112010210122101221101212011221101012022
4,9,10101121101121010110111212102211010101122110122102122
4,10,121211012110210122101012210121212110221110101122
4,11,22112141021101111101110121101112121421010110111121122111112210211211120111111011112112011111141111221121121110111211211114112111121111112211410121112111112101111222141010102411011041102102111101011110102121121211221211210122
4,12,11101012111102110110111121121122111211211111111411011210111122211410102111211114110101101111011211221110112111211114110122101111222114101021122111221112110110112114110101021111211201111111224101112211110114111111210111122214101010101162111121211211210120
4,13,1011212111211121112121010114210212101101021212122121101010120
4,14,11210121112121111112121010121021222112121220
4,15,1221021021111241101010121101210111221011211211012121012112111212010110101121112122
4,16,11211012121210122121122211012110121014122121121122
4,17,12110111121112110121411121212122112122114111212111010121211210122
