Sourate_N,Verset_N,Verset_B,ROOTS
2,54,"wa <i*o qaAla muwsaY` li qawomi hi. ya` qawomi  <in~a kumo Zalamo tumo >anfusa kum bi {t~ixaA*i kumu {lo Eijola fa tuwbu w^A@ <ilaY` baAri}i kumo fa {qotulu w^A@ >anfusa kumo *a`likumo xayorN l~a kumo Einda baAri}i kumo fa taAba Ealayo kumo <in~a hu, huwa {l t~aw~aAbu {l r~aHiymu",  qwl   qwm   qwm    Zlm  nfs   Ax*   Ejl  twb   brA   qtl  nfs   xyr   End brA   twb       twb  rHm
2,55,wa <i*o qulo tumo ya` muwsaY` lan n~u&omina la ka Hat~aY` naraY {ll~aha jahorapF fa >axa*ato kumu {l S~a`Eiqapu wa >antumo tanZuru wna,  qwl     Amn    rAy Alh jhr  Ax*   SEq   nZr 
2,56,vum~a baEavo na` kum m~in[ baEodi mawoti kumo laEal~a kumo ta$okuru wna, bEv    bEd mwt    $kr 
2,57,wa Zal~alo naA Ealayo kumu {lo gamaAma wa >anzalo naA Ealayo kumu {lo man~a wa {l s~alowaY` kulu wA@ min Tay~iba`ti maA razaqo na` kumo wa maA Zalamu w naA wa la`kin kaAnu w^A@ >anfusa humo yaZolimu wna, Zll     gmm  nzl     mnn   slw Akl   Tyb  rzq     Zlm     kwn  nfs  Zlm 
2,58,wa <i*o qulo naA {doxulu wA@ ha`*ihi {lo qaroyapa fa kulu wA@ mino haA Hayovu $i}o tumo ragadFA wa {doxulu wA@ {lo baAba suj~adFA wa quwlu wA@ HiT~apN n~agofiro la kumo xaTa`ya` kumo wa sa naziydu {lo muHosiniyna,"  qwl  dxl    qry  Akl    Hyv
 $yA  rgd  dxl   bwb sjd  qwl  HTT gfr   xTA    zyd  Hsn"
2,59,fa bad~ala {l~a*iyna Zalamu wA@ qawolFA gayora {l~a*iY qiyla la humo fa >anzalo naA EalaY {l~a*iyna Zalamu wA@ rijozFA m~ina {l s~amaA^'i bi maA kaAnu wA@ yafosuqu wna, bdl  Zlm  qwl gyr  qwl    nzl    Zlm  rjz   smw   kwn  fsq 
2,60,wa <i*i {sotasoqaY` muwsaY` li qawomi hi. fa qulo naA {Dorib b~i EaSaA ka {lo Hajara fa {nfajarato mino hu {vonataA Ea$orapa EayonFA qado Ealima kul~u >unaAsK m~a$oraba humo kulu wA@ wa {$orabu wA@ min r~izoqi {ll~ahi wa laA taEova woA@ fiY {lo >aroDi mufosidiyna,  sqy   qwm   qwl  Drb  ESw   Hjr  fjr   vny E$r Eyn  Elm kll Ans $rb  Akl   $rb   rzq Alh   Evw    ArD fsd
2,61,wa <i*o qulo tumo ya` muwsaY` lan n~aSobira EalaY` TaEaAmK wa`HidK fa {doEu la naA rab~a ka yuxorijo la naA mi m~aA tun[bitu {lo >aroDu min[ baqoli haA wa qiv~aA^}i haA wa fuwmi haA wa Eadasi haA wa baSali haA qaAla >a tasotabodilu wna {l~a*iY huwa >adonaY` bi {l~a*iY huwa xayorN {hobiTu wA@ miSorFA fa <in~a la kum m~aA sa>alo tumo wa Duribato Ealayo himu {l *~il~apu wa {lo masokanapu wa baA^'u w bi gaDabK m~ina {ll~ahi *a`lika bi >an~a humo kaAnu wA@ yakofuru wna bi _#aAya`ti {ll~ahi wa yaqotulu wna {l n~abiy~i.na bi gayori {lo Haq~i *a`lika bi maA EaSa wA@ w~a kaAnu wA@ yaEotadu wna,  qwl     Sbr  TEm wHd  dEw   rbb  xrj     nbt  ArD  bql   qvA   fwm   Eds   bSl  qwl  bdl    dnw    xyr hbT  mSr      sAl   Drb    *ll   skn  bwA   gDb  Alh     kwn  kfr   Ayy Alh  qtl   nbA  gyr  Hqq    ESy   kwn  Edw 
2,62,<in~a {l~a*iyna 'aAmanu wA@ wa {l~a*iyna haAdu wA@ wa {l n~aSa`raY` wa {l S~a`bi_#iyna mano 'aAmana bi {ll~ahi wa {lo yawomi {lo 'aAxiri wa Eamila Sa`liHFA fa la humo >ajoru humo Einda rab~i himo wa laA xawofN Ealayo himo wa laA humo yaHozanu wna,  Amn    hwd    nSr   SbA  Amn  Alh   ywm  Axr  Eml SlH    Ajr  End rbb    xwf      Hzn 
2,63,wa <i*o >axa*o naA miyva`qa kumo wa rafaEo naA fawoqa kumu {l T~uwra xu*u wA@ maA^ 'aAtayo na` kum bi quw~apK wa {*okuru wA@ maA fiy hi laEal~a kumo tat~aqu wna,  Ax*  wvq   rfE  fwq   Twr Ax*   Aty    qwy  *kr       wqy 
2,64,"vum~a tawal~ayo tum m~in[ baEodi *a`lika fa lawolaA faDolu {ll~ahi Ealayo kumo wa raHomatu hu, la kun tum m~ina {lo xa`siriyna", wly   bEd    fDl Alh    rHm   kwn    xsr
2,65,wa la qado Ealimo tumu {l~a*iyna {Eotada woA@ min kumo fiY {l s~aboti fa qulo naA la humo kuwnu wA@ qiradapF xa`si_#iyna,   Elm   Edw      sbt  qwl    kwn  qrd xsA
2,66,fa jaEalo na` haA naka`lFA l~i maA bayona yadayo haA wa maA xalofa haA wa mawoEiZapF l~i lo mut~aqiyna, jEl   nkl   byn ydy    xlf   wEZ   wqy
2,67,wa <i*o qaAla muwsaY` li qawomi hi.^ <in~a {ll~aha ya>omuru kumo >an ta*obaHu wA@ baqarapF qaAlu w^A@ >a tat~axi*u naA huzuwFA qaAla >aEuw*u bi {ll~ahi >ano >akuwna mina {lo ja`hiliyna,  qwl   qwm   Alh Amr   *bH  bqr qwl   Ax*  hzA qwl Ew*  Alh  kwn   jhl
2,68,"qaAlu wA@ {doEu la naA rab~a ka yubay~in l~a naA maA hiYa qaAla <in~a hu, yaquwlu <in~a haA baqarapN l~aA faAriDN wa laA bikorN EawaAnN[ bayona *a`lika fa {foEalu wA@ maA tu&omaru wna",qwl  dEw   rbb  byn     qwl   qwl   bqr  frD   bkr Ewn byn   fEl   Amr 
2,69,"qaAlu wA@ {doEu la naA rab~a ka yubay~in l~a naA maA lawonu haA qaAla <in~a hu, yaquwlu <in~a haA baqarapN SaforaA^'u faAqiEN l~awonu haA tasur~u {l n~a`Ziriyna",qwl  dEw   rbb  byn    lwn  qwl   qwl   bqr Sfr fqE lwn  srr  nZr
2,70,qaAlu wA@ {doEu la naA rab~a ka yubay~in l~a naA maA hiYa <in~a {lo baqara ta$a`baha Ealayo naA wa <in~a A^ <in $aA^'a {ll~ahu la muhotaduwna,qwl  dEw   rbb  byn       bqr $bh       $yA Alh  hdy
2,71,"qaAla <in~a hu, yaquwlu <in~a haA baqarapN l~aA *aluwlN tuviyru {lo >aroDa wa laA tasoqiY {lo Harova musal~amapN l~aA $iyapa fiy haA qaAlu wA@ {lo _#a`na ji}o ta bi {lo Haq~i fa *abaHu w haA wa maA kaAdu wA@ yafoEalu wna",qwl   qwl   bqr  *ll vwr  ArD   sqy  Hrv slm  w$y   qwl    jyA    Hqq  *bH     kwd  fEl 
2,72,wa <i*o qatalo tumo nafosFA fa {d~a`ra`#o tumo fiy haA wa {ll~ahu muxorijN m~aA kun tumo takotumu wna,  qtl  nfs  drA     Alh xrj  kwn  ktm 
2,73,fa qulo naA {Doribu w hu bi baEoDi haA ka *a`lika yuHoYi {ll~ahu {lo mawotaY` wa yuriy kumo 'aAya`ti hi. laEal~a kumo taEoqilu wna, qwl  Drb    bED    Hyy Alh  mwt  rAy  Ayy    Eql 
2,74,vum~a qasato quluwbu kum m~in[ baEodi *a`lika fa hiYa ka {lo HijaArapi >awo >a$ad~u qasowapF wa <in~a mina {lo HijaArapi la maA yatafaj~aru mino hu {lo >anoha`ru wa <in~a mino haA la maA ya$~aq~aqu fa yaxoruju mino hu {lo maA^'u wa <in~a mino haA la maA yahobiTu mino xa$oyapi {ll~ahi wa maA {ll~ahu bi ga`filK Ea m~aA taEomalu wna, qsw qlb   bEd      Hjr  $dd qsw     Hjr   fjr    nhr       $qq  xrj    mwh       hbT  x$y Alh   Alh  gfl   Eml 
2,75,">a fa taTomaEu wna >an yu&ominu wA@ la kumo wa qado kaAna fariyqN m~ino humo yasomaEu wna kala`ma {ll~ahi vum~a yuHar~ifu wna hu, min[ baEodi maA Eaqalu w hu wa humo yaEolamu wna",  TmE   Amn      kwn frq   smE  klm Alh  Hrf    bEd  Eql     Elm 
2,76,wa <i*aA laqu wA@ {l~a*iyna 'aAmanu wA@ qaAlu w^A@ 'aAma n~aA wa <i*aA xalaA baEoDu humo <ilaY` baEoDK qaAlu w^A@ >a tuHad~ivu wna hum bi maA fataHa {ll~ahu Ealayo kumo li yuHaA^j~u w kum bi hi. Einda rab~i kumo >a fa laA taEoqilu wna,  lqy   Amn  qwl  Amn    xlw bED   bED qwl   Hdv     ftH Alh    Hjj     End rbb     Eql 
2,77,>a wa laA yaEolamu wna >an~a {ll~aha yaEolamu maA yusir~u wna wa maA yuEolinu wna,   Elm   Alh Elm  srr    Eln 
2,78,wa mino humo >um~iy~uwna laA yaEolamu wna {lo kita`ba <il~aA^ >amaAniY~a wa <ino humo <il~aA yaZun~u wna,   Amm  Elm   ktb  mny     Znn 
2,79,fa wayolN l~i l~a*iyna yakotubu wna {lo kita`ba bi >ayodiy himo vum~a yaquwlu wna ha`*aA mino Eindi {ll~ahi li ya$otaru wA@ bi hi. vamanFA qaliylFA fa wayolN l~a hum m~i m~aA katabato >ayodiy himo wa wayolN l~a hum m~i m~aA yakosibu wna,    ktb   ktb  ydy   qwl    End Alh  $ry    vmn qll       ktb ydy        ksb 
2,80,"wa qaAlu wA@ lan tamas~a naA {l n~aAru <il~aA^ >ay~aAmFA m~aEoduwdapF qulo >a t~axa*o tumo Einda {ll~ahi EahodFA fa lan yuxolifa {ll~ahu Eahoda hu,^ >amo taquwlu wna EalaY {ll~ahi maA laA taEolamu wna", qwl   mss   nwr  ywm Edd qwl  Ax*  End Alh Ehd   xlf Alh Ehd   qwl   Alh   Elm 
2,81,"balaY` man kasaba say~i}apF wa >aHa`Tato bi hi. xaTiy^_#atu hu, fa >uw@la`^}ika >aSoHa`bu {l n~aAri humo fiy haA xa`liduwna",  ksb swA  HwT   xTA    SHb  nwr    xld
2,82,wa {l~a*iyna 'aAmanu wA@ wa Eamilu wA@ {l S~a`liHa`ti >uw@la`^}ika >aSoHa`bu {lo jan~api humo fiy haA xa`liduwna,  Amn   Eml   SlH  SHb  jnn    xld
2,83,wa <i*o >axa*o naA miyva`qa baniY^ <isora`^'iyla laA taEobudu wna <il~aA {ll~aha wa bi {lo wa`lidayoni <iHosaAnFA wa *iY {lo qurobaY` wa {lo yata`maY` wa {lo masa`kiyni wa quwlu wA@ li l n~aAsi HusonFA wa >aqiymu wA@ {l S~alaw`pa wa 'aAtu wA@ {l z~akaw`pa vum~a tawal~ayo tumo <il~aA qaliylFA m~in kumo wa >antum m~uEoriDuwna,  Ax*  wvq bny   Ebd   Alh    wld Hsn    qrb   ytm   skn  qwl    nws Hsn  qwm   Slw  Aty   zkw  wly   qll     ErD
2,84,wa <i*o >axa*o naA miyva`qa kumo laA tasofiku wna dimaA^'a kumo wa laA tuxoriju wna >anfusa kum m~in diya`ri kumo vum~a >aqoraro tumo wa >antumo ta$ohadu wna,  Ax*  wvq   sfk  dmw    xrj  nfs   dwr   qrr    $hd 
2,85,vum~a >antumo ha`^&ulaA^'i taqotulu wna >anfusa kumo wa tuxoriju wna fariyqFA m~in kum m~in diya`ri himo taZa`haru wna Ealayo him bi {lo <ivomi wa {lo Eudowa`ni wa <in ya>otu w kumo >usa`raY` tufa`du w humo wa huwa muHar~amN Ealayo kumo <ixoraAju humo >a fa tu&ominu wna bi baEoDi {lo kita`bi wa takofuru wna bi baEoDK fa maA jazaA^'u man yafoEalu *a`lika min kumo <il~aA xizoYN fiY {lo Hayaw`pi {l d~unoyaA wa yawoma {lo qiya`mapi yurad~u wna <ilaY`^ >a$ad~i {lo Ea*aAbi wa maA {ll~ahu bi ga`filK Ea m~aA taEomalu wna,   qtl  nfs   xrj  frq    dwr  Zhr      Avm   Edw   Aty   Asr fdy     Hrm   xrj    Amn   bED  ktb  kfr   bED   jzy  fEl     xzy   Hyy  dnw  ywm  qwm rdd   $dd  E*b   Alh  gfl   Eml 
2,86,>uw@la`^}ika {l~a*iyna {$otara wuA@ {lo Hayaw`pa {l d~unoyaA bi {lo 'aAxirapi fa laA yuxaf~afu Eano humu {lo Ea*aAbu wa laA humo yunSaru wna,  $ry   Hyy  dnw   Axr   xff    E*b    nSr 
